Title,Job Title,Experience,Experience Categories,Company,Location,Skills
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Awesome Analytics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","excel, , macros, data analysis, vba, mis, advanced excel, msbi"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Systechcorp Inc,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Analytical skills, Operations management, Data analysis, Excel, Merchandising strategies, Sales operations, data visualization, Stakeholder management"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Vimaan Robotics,Bengaluru,"Supply chain, Computer science, Data analysis, Machine learning, Business intelligence, Macros, Analytics, Monitoring"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Diverse Lynx,Bengaluru,"metadata, Manager Quality Assurance, Data Analyst, Management, SQL, data profiling, Assurance, Data analysis"
Translator Data Analyst,Data Analyst,0-2 Yrs,Freshers,S&P Global Market Intelligence,Hyderabad,"python, information research, sql, vba, financial statements, data analysis, presentation skills, data integrity"
Data Analyst Scientist,Data Analyst,0-2 Yrs,Freshers,Mid Town Software,Mohali,"Process automation, Business analysis, Analytical, Process improvement, Artificial Intelligence, Machine learning, Data quality, Natural language processing"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,First Soft Solutions,Chennai,"Interpersonal skills, Senior Data Analyst, SQL, Python, Data analysis, Data, Interpersonal, Senior"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Alpha Analytics Services,Pune,"Data modeling, Consulting, Data Analyst, Scheduling, Informatica, Stored procedures, Unit testing, Pentaho"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Bhive Workspace,Bengaluru,"Data analysis, Data management, data security, Machine learning, Javascript, Data quality, MS Office, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Bazaronweb,Lucknow,"Data Analyst, Data, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Decisiontree Analytics & Services,Gurugram,"MS SQL, Postgresql, MySQL, Senior Data Analyst, PHP, Informatica, SSIS, Data warehousing"
Translator Data Analyst,Data Analyst,0-2 Yrs,Freshers,S&P Global Market Intelligence,Hyderabad,"Portuguese, automation, VBA, Translator, Accounting, Lean principles, Data Analysis, Portuguese financial markets"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Bsharp,Bengaluru,"Usage, Data Analyst, User management, Data analysis, Data, Management"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Acme Services,Bengaluru,"Interpersonal skills, Business Analyst, Analytical, Programming, Database, Manager Technology, Data quality, Data Analyst"
Translator Data Analyst,Data Analyst,0-2 Yrs,Freshers,S&P Global Inc.,"Hyderabad, Gurugram","Supply chain, Automation, Manager Quality Assurance, Primary research, Process improvement, Market intelligence, Spanish, Secondary research"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Insure Pro 20,Bengaluru,"Data analysis, Publishing, Data modeling, power bi, Data Analyst, Information management, data visualization, Troubleshooting"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Mindpeers,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","python, data analysis, design development, sas, mathematics, data mining, spss, javascript"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Myglamm,Mumbai,"Data analysis, Excel, Analytical, Data collection, Market research, data visualization, Private equity, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Heptarc Talent Acquisition,Bengaluru,"data cleansing, Report generation, metadata, Manager Quality Assurance, data integrity, Data Analyst, Management, Troubleshooting"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Rehoboth Academic Services,Bengaluru,"Excel, Report writing, Content writing, SEM, Data Analyst, MS Office, Statistics, Office"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Course5 Intelligence,Bengaluru,"Coding, data manipulation, power bi, Data Analyst, SQL, Python, Data analysis, Data"
Data Analyst - Gcss,Data Analyst,0-2 Yrs,Freshers,Whatfix,Bengaluru,"Data analysis, Simulation, Cost reduction, Cloud, Database, Data quality, Medical insurance, Data mining"
Statistician Data Analyst,Data Analyst,0-2 Yrs,Freshers,Authenu,Bengaluru,"Usage, Email, Data collection, Data Analyst, Problem, Subject Matter Expert, Research, Analyst 3"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Xpheno,Bengaluru,"Lean manufacturing, Analytical, Data Analyst, Management, Data mining, Continuous improvement, Operations, Cost"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Fleek,Bengaluru,"Data validation, Data modeling, Analytical, Healthcare, Manager Quality Control, Operations, Analytics, Wholesale"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Game Theory,Bengaluru,"Automation, Data analysis, Data modeling, Machine learning, Javascript, Data quality, Analytics, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Q-DAT IT SOLUTIONS PVT. LTD.,Bengaluru,"Advanced, Analytical, Data Analyst, MS Office, Data analysis, Data, Analytics, Microsoft"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,"Orbit & Skyline, Inc",Mohali,"Product management, Supply chain, Mining, Data analysis, Supply chain management, Coding, Hardware design, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Qvesta Technologies,"Coimbatore, Bengaluru","Data Analyst, Data, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Falcon Smart It,Bengaluru,"ERP, Data analysis, Publishing, Kaizen, Data Analyst, Advanced Excel, Powerpoint, Macros"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Siyanda Techlogics,Visakhapatnam,"data science, Analytical, Social media, Data processing, Data structures, Predictive modeling, Data Analyst, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Alaan,Bengaluru,"Data analysis, Automation, Data management, Financial analysis, Analytical, Data collection, Business intelligence, Analytics"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Omega Healthcare,Hyderabad,"Data Analysis, Power BI, data reporting, data processing, Data Analyst, Tableau, Reporting, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,CAMSDATA,Bengaluru,"tableau, Google Analytics, Excel, MIS, query, Cloud, Data Analyst, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Gyantu,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Training, E-learning, Database design, Analytical, Database, Data Analyst, Troubleshooting, Data mining"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Open Financial Technologies,Bengaluru,"Computer science, ERP, Data analysis, Analytical, Postgresql, MySQL, data visualization, IEEE"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Usdc Global,Bengaluru,"Business analytics, Agile, Conceptualization, Programming, Data Analyst, data visualization, Research, Forecasting"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Popreach Technologies,Bengaluru,"Data Analyst, Data analysis, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Vgminds Techstudios,Bengaluru,"Data Analyst, Data, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Grapes Idmr,Thrissur,"Business objects, SAS, Database design, Process improvement, XML, Javascript, Data collection, SPSS"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Leading Client,Bengaluru,"Data Analysis, Amazon QuickSight, Excel, predictive analytics, data warehousing, statistical modelling, ETL, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Acme Services,Bengaluru,"data science, Programming, Data Analyst, Forecasting, Statistics, Testing, SQL, Python"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,BP INCORPORATE INTERNATIONAL.,Pune,"Data analysis, Data management, Business analysis, Analytical, Consulting, microsoft, Data mining, Risk management"
Data Analyst -Survey Administration,Data Analyst,0-2 Yrs,Freshers,Oliver Wyman,Gurugram,"Training, Administration, Disciplinary action, Senior Analyst, Consulting, Data collection, Data Analyst, professional services"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Wonderskool,Panchkula,"Data analysis, SAS, Data management, Healthcare, Data mining, Risk management, Analytics, Counselling"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,T Machine Software Solutions,Chennai,"Computer science, Basic, Data analysis, Statistical analysis, Data collection, power bi, data visualization, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Probo,Gurugram,"sql, bi tools, tableau, python, data analysis, bi, power bi, quantum"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Godrej Agrovet,Pune,"Data Analysis, Power Bi, Data Management, Data Visualization, Advanced Excel, MIS Reporting, Reporting, MIS"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Innovature Software Labs,"Kochi, Chennai","Usage, Sales, Analytical, power bi, Data Analyst, Business intelligence, Data warehousing, Analytics"
Data Pull Analyst- Blr Location,Other,0-2 Yrs,Freshers,Oracle,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Administration, Excel, Income tax, Business analysis, Project management, Analytical, Oracle, Powerpoint"
Esg -Data Analyst Powerbi Engineer,Data Analyst,0-2 Yrs,Freshers,Apex Group,Mumbai,"Prototype, Time management, Analytical, Web application, Data structures, Fund administration, Consultancy, Private equity"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Bhavani Shipping services,"Thane, Navi Mumbai, Mumbai (All Areas)","Reporting, Data Analysis, Excel Powerpoint, Data Extraction, Charts, Data Collection, Advanced Excel, Power Point Presentation"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,IntraEdge Technology,Chennai,"Analyst, Data validation, Quality standards, Application development, Data quality, Data Analyst, Cost, Inventory"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,BP INCORPORATE INTERNATIONAL.,Pune,"Data analysis, Manager Quality Assurance, Data management, Business analysis, Consulting, microsoft, Data mining, Analytics"
Data Analysts,Data Analyst,0-2 Yrs,Freshers,Prometheus Consulting,Bengaluru,"Supply chain, Process orientation, Business analytics, Analytical, Consulting, Market research, Data Analyst, Customer experience"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Nirvana Digital,"Mumbai, Chinchpokli","Data analysis, Power BI, Data Analyst, Python, SQL, Data, Bi, Analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Riddhi Corporate Services,Ahmedabad,"Power Bi, Data Analysis, Data Analytics, Data Management, Data Visualization, Data Cleansing, Data Reporting, Analysis"
Site Data Analyst,Data Analyst,0-2 Yrs,Freshers,Apraava Renewable Energy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Warehouse, Project implementation, Compliance, Gap analysis, Data Analyst, SCM, Functionality testing, HSSE"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Etomate Technology,Bengaluru,"Com, Relationship Executive, Excel, Star, Database, Data Analyst, Business intelligence, Macros"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Boss Wallah,Bengaluru,"SQL queries, Data analysis, Malayalam, tableau, B2C, Analytical, power bi, Data Analyst"
Data Analyst-Store Controls And Risk Management,Data Analyst,0-2 Yrs,Freshers,Titan Company,Bengaluru,"sql, advanced excel, mongodb, power bi, alteryx, data management, data mining, bi"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Bombay Play,Bengaluru,"Data analysis, Analytical, Social media, Market research, Business intelligence, Digital marketing, Gaming, Analytics"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Ringcentral,Bengaluru,"Data analysis, Diagnostics, Machine learning, Data collection, Video conferencing, Analytics, SQL, Python"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,MS Guide World,"New Delhi, Pune, Bengaluru","Automation, Data analysis, SAP, Data modeling, Hyperion, SAP CRM, Business intelligence, Analytics"
Ai Engineer Data Analyst,Data Analyst,0-2 Yrs,Freshers,Meru Software,Hyderabad,"Machine learning, Data Analyst, SQL, Python, Artificial Intelligence, Machine, Data analysis, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Kazam,Bengaluru,"Computer science, Stakeholder Engagement, Coding, power bi, MongoDB, Data Analyst, Mathematics, Monitoring"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Z2plus Placement & Security Agency Pvt. Ltd.,Bengaluru,"Industry research, Marketing programs, Statistical modeling, SQL database, Data modeling, management, Business excellence, Data mining"
Translator Data Analyst,Data Analyst,0-2 Yrs,Freshers,S&P Global Inc.,"Hyderabad, Gurugram","Supply chain, Automation, Manager Quality Assurance, Primary research, Translator, Process improvement, Data collection, Secondary research"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Uprio,Bengaluru(JP Nagar),"Excel, Power Bi, Tableau, SQL, Data analysis, Data, Bi"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Pradeepit Consulting Services,Pune,"Data analysis, Sales, Advanced Excel, Data Analyst, SQL, Analysis, Data, Excel"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Aldous Glare Tech & Energy,"Pathanamthitta, Palakkad","Junior Business Analyst, Business Head, Trade, Data Analyst, Data, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,CC Staffing International,"Kochi, Thrissur, Kozhikode, Thiruvananthapuram","data cleansing, Data analysis, Data validation, PHP, Data quality, Data mining, Operations, Analytics"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,eTeam Inc.,Hyderabad,"MS SQL, Case analysis, Data modeling, Project management, Data Analyst, Project planning, Management, Operations"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,MS Guide World,New Delhi,"Data analysis, Talent acquisition, Machine learning, Data processing, Business intelligence, Recruitment, SQL, Data extraction"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Product based Fortune India 500 FMCG Firm,Mumbai (All Areas),"Data Analysis, Administration, MIS, Advanced Excel, Dashboards, Excel, Analysis, Data"
Data Analyst - Opendata Commercial,Data Analyst,0-2 Yrs,Freshers,Veeva Systems,Mumbai,"SAN, Data analysis, DOM, Web technologies, Data quality, Life sciences, Data Analyst, Operations"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,SwitchON Foundation,Kolkata,"Dashboard & Visualization, Data Management And Analysis, Reporting & Capacity Support, Evaluation & Learning, Monitoring, Data Visualization, Evaluation, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Selective Consultants,Faridabad,"Project Management, MIS, Data Management, NPD, Data analysis, Management, Project, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Techplus Media,New Delhi,"Data Analyst, Data analysis, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Diensten Tech,New Delhi,"Data Analyst, Data analysis, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Diensten Tech,Pune,"Data Analyst, Data, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Moris Media,Mumbai,"Data analysis, Data management, Analytical, Trend analysis, Data collection, Strategic planning, Data quality, Business intelligence"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Acme Services,Pune,"Training, Programming, Data Analyst, Mathematics, JIRA, MS Office, Powerpoint, Statistics"
Data Analysts,Data Analyst,0-2 Yrs,Freshers,Pratyaksha Medi Care,Noida,"data science, SPSS, WinCross, Data analysis, Data, Analysts, Science"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Acme Services,Mumbai,"Automation, Data analysis, Quality standards, Asset management, Macros, Portfolio management, Analytics, Financial services"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Akash Blowers,Bahadurgarh,"Data Management, Data Analysis, Data Reporting, Reporting, Data, Management, Analysis"
Reliability Data Analyst,Data Analyst,0-2 Yrs,Freshers,Pinnacle Art,Hyderabad,"Mining, Technical writing, Fixed assets, Database management, Management systems, Engineering projects, Data Analyst, MS Office"
Data Analyst:,Data Analyst,0-2 Yrs,Freshers,Azmarq,Noida,"Computer science, Data analysis, SAS, Data management, Process improvement, Data collection, Data quality, SPSS"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,MGS Technology,Pune,"Procurement, SAP, Supply Chain Management, Tableau, Data, Management, Data analysis, Supply chain"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Nexzu Mobility,Pune,"Marketing Intern, Accounting, Data Analyst, Accounts Executive, Marketing Executive, Internship, Data, Marketing"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Bharatnxt,Mumbai,"Process automation, Data analysis, Finance, Trend analysis, Cash flow, power bi, Data Analyst, Operations"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Decisiontree Analytics & Services,Gurugram,"tableau, Data Analyst, Data warehousing, SQL, Data analysis, Warehouse, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Darkplus Technology,Aurangabad,"Data Analyst, Data analysis, Data"
Python Data Analyst,Data Analyst,0-2 Yrs,Freshers,MavenMagnet,"Indore, Madhya Pradesh","Python, xlwings, SciPy, Pandas, AI, NumPy, openpyxl, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Walbrosoft,Nagpur,"Excel, Internet research, Data collection, Data Analyst, Management, MS Office, Powerpoint, Data Entry Operator"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Structural Solutions (SSPL),"Mumbai, New Delhi","ERP, Data analysis, SAS, MS Access, Cognos, SPSS, Business intelligence, Data warehousing"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Align Technology,New Delhi,"r, python, economics, mathematics, data analysisstatistics, artificial intelligence, programming, Program"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,T&N Business Services,Gurugram,"Data analysis, Coding, Database design, Report writing, Data Analyst, data visualization, Data mining, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Fusion Plus Solutions,Hyderabad,"Telecom, MS SQL, Test management tool, Functional testing, Agile, Data Analyst, SOAP, SQL"
S&Op Data Analyst,Data Analyst,0-2 Yrs,Freshers,Harbisonwalker International,Nagpur,"Data analysis, French, Data modeling, Process improvement, Analytical, Data collection, German, Data mining"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Acme Services,Mumbai,"SQL queries, MIS, Data Analyst, Test cases, Data, Data analysis, SQL, Query"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Acme Services,Gurugram,"SQL queries, tableau, VBA, power bi, Advanced Excel, Data Analyst, Macros, Operations"
Reference Data Analyst,Data Analyst,0-2 Yrs,Freshers,Deutsche Bank,Bengaluru,"market data, capital market, trade life cycle, data quality, instruments, c#, it development, c++"
Business Analyst Data Analyst,Data Analyst,0-2 Yrs,Freshers,CBRE,"Gurugram, Delhi / NCR, Mumbai (All Areas)","Data Management, Advanced Excel, Excel Reporting, Macros, Data Reporting, Pivot Table, Business Intelligence, Reporting"
Data Loss Prevention Analyst,Other,0-2 Yrs,Freshers,Forvis Mazars,Mumbai (All Areas),"Dlp, Data Loss Prevention, Zscaler, Forcepoint, Loss prevention, Prevention, Data"
Data Analyst Data Scientist,Data Analyst,0-2 Yrs,Freshers,The Dhan Academy,Hyderabad,"Computer science, Market analysis, Logistic regression, Data analysis, Operational excellence, SAS, Debugging, Data mining"
Data Analyst - Mumbai,Data Analyst,0-2 Yrs,Freshers,Aeke Consultancy,Mumbai (All Areas),"Power Bi, Data Analysis, Excel Macros, Macros, Exp, Analysis, Excel, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Vgen Software Solutions,Coimbatore,"Conditional Formatting, Advanced Excel, Power Query, SQL, Pivot Table, Data Validation, Data Transformation, Formulas"
Data Analyst With Low Code,Data Analyst,0-2 Yrs,Freshers,Overture Rede,Ahmedabad,"Front end, MySQL, Debugging, Machine learning, Data structures, HTML, SDLC, Analytics"
Analyst Loan Data Extraction,Other,0-2 Yrs,Freshers,Chatham Financial,Chennai,"Manager Quality Assurance, Data management, Analytical, Finance, Data quality, Credit analysis, Financial risk management, commercial real estate"
Business Data Analyst,Data Analyst,0-2 Yrs,Freshers,Orange Business Services,Gurugram,"Automation, Data analysis, Data modeling, Consulting, Machine learning, Business intelligence, Analytics, SQL"
Data Pipeline Analyst,Other,0-2 Yrs,Freshers,Lucy Electric,Vadodara,"Analyst, Data analysis, Automation, Business process improvement, Process improvement, Data processing, Data quality, Business intelligence"
Data-Analyst,Other,0-2 Yrs,Freshers,Venus Jewel,Mumbai,"Computer science, Administration management, deep learning, Excel, Manager Quality Assurance, Management systems, Machine learning, Operations"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Chessshiksha Ed-tech,Udaipur,"Data Analysis, Power BI, Data Manipulation, Data Profiling, Data Visualization, Data Cleansing, Tableau, Cleansing"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Acme Services,Mumbai,"Statistical analysis, Business Analyst, Data research, Data modeling, Manager Technology, Data Analyst, Analytics, Testing"
Data Pipeline Analyst,Other,0-2 Yrs,Freshers,Lucy Electric,Vadodara,"continuous integration, cd, python, ci/cd, data transformation, data pipelinesql server, Integration, Serv"
Data Engineer Analyst,Data Engineer,0-2 Yrs,Freshers,Naghavi Fintech,Bengaluru,"data quality, data analysis, data pipeline, data visualization, etl, data engineering, fintech, Analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,B.M. House India limited,Bengaluru(HSR Layout),"Canva, Data Analysis, Advanced Excel, Power Bi, VLOOKUP, Data Management, Pivot, Digital Marketing"
Data And Governance Analyst,Data Governance Analyst,0-2 Yrs,Freshers,Barclays,Pune,"data cleansing, Data analysis, Staffing, Project management, Scheduling, Data quality, Business strategy, Assistant Vice President"
Ops-Cs Client Data Analyst,Data Analyst,0-2 Yrs,Freshers,Nomura,Mumbai,"Wealth management, Data management, Data quality, Investment banking, Investment management, Risk management, Information technology, Financial services"
Analyst - Data Services,Other,0-2 Yrs,Freshers,Calypso Technology,Bengaluru,"Data analysis, Excel, Production support, Operations planning, Master data management, power bi, Information management, Research"
Data Analysts,Data Analyst,0-2 Yrs,Freshers,FedEx,Mumbai,"Data analysis, Contract management, MIS, Process improvement, pricing strategy, RFP, Monitoring, Auditing"
Data Scientist And Analyst,Data Scientist,0-2 Yrs,Freshers,Diverse Lynx,Pune,"Data management, Business analytics, Machine learning, data governance, Data Analyst, Data quality, Natural language processing, Data mining"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Z2plus Placement & Security Agency Pvt. Ltd.,Panaji,"Supply chain, Data modeling, Project management, SSRS, Business excellence, data visualization, SSIS, Business intelligence"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,eTeam Inc.,Pune,"SQL queries, Data management, Banking, data governance, Data quality, Agile methodology, Data Analyst, JIRA"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Acme Services,Mumbai,"tableau, Excel, Programming, Data Analyst, SQL, Python, Program, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,mycitynagpur,Nagpur,"Help Desk, Customer Service, data analysis, customer relationship, access controls, Telephony support, Asset Management, Vendor Management"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Nath Outsourcing Solutions,Mohali,"Payment posting, Data Analyst, US healthcare, Healthcare, Data, Data analysis, Post, Posting"
Analyst - People Data Scientist,Data Scientist,0-2 Yrs,Freshers,Harman International,Bengaluru,"Supply chain, Data analysis, Change management, Automation, Analytical, Strategic planning, Information management, Analytics"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Aureate Labs Private Limited,Surat,"Computer science, Data validation, Google Analytics, Email marketing, Social media, Analytical, MySQL, Digital marketing"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Innovative Techhub,Pune,"Data analysis, Data management, Data modeling, Financial analysis, Network analysis, Database, Programming, Stored procedures"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Konceptogen Healthcare,Pune,"tableau, Statistical analysis, Machine learning, linear regression, Javascript, power bi, Data Analyst, data visualization"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Mindpeers,New Delhi,"Data analysis, Business objects, SAS, Database design, Process improvement, XML, Javascript, Data processing"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Vijay Copolymers,Aurangabad,"IT services, Computer science, Data analysis, Business analytics, Analytical, data visualization, Troubleshooting, Business intelligence"
Da Data Analyst At New,Data Analyst,0-2 Yrs,Freshers,Development Alternatives,New Delhi,"Analytical skills, Data analysis, data science, data manipulation, Analytical, Strategic planning, Data collection, Data Analyst"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,MR Chemie,Hyderabad,"Data analysis, Automation, Javascript, HTML, Data mining, SQL, Business operations, Data extraction"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Kuboloitte,Ghaziabad,"load runner, performance testing, web services, vugen, scala, dynatrace, dbms, perfmon"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,V-SEARCH EDUCATION & CONSULTANCY,Bikaner,"Data Analyst, Data, Data analysis"
Site Data Analyst,Data Analyst,0-2 Yrs,Freshers,Apraava Renewable Energy,Rajkot,"Warehouse, Project implementation, Compliance, Gap analysis, Data Analyst, SCM, Functionality testing, HSSE"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,PB Partners,Gurugram,"Data Analyst, Data analysis, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Cradlepoint,Noida,"Automation, tableau, Debugging, Data Analyst, data visualization, Operations, Analytics, Supervision"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Kapgrow Corporate Advisory Services Pvt. Ltd,Pune,"Data collection, Data processing, Data Analyst, HR, Business operations, Data analysis, Operations, Hrsd"
Data Analyst For Esg & Brsr,Data Analyst,0-2 Yrs,Freshers,Globetrend Climate Impact,Gurugram,"Analytical skills, Investment analysis, Interpersonal skills, Excel, Data management, Project management, Data collection, Data Analyst"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Shubhashray Housing India,Gurugram,"Health insurance, Data analysis, Excel, Senior management, Coding, NBFC, Data Analyst, Investment management"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Farmrobo Technologies,Hyderabad,"Data Analyst, Data analysis, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Eminenture,New Delhi,"Outbound, VBA, VLOOKUP, Conditional formatting, Advanced Excel, Data Analyst, Macros, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Little Genius Academy,Vadodara,"Data Analyst, Data, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Contechub,Jaipur,"analytics, salesforce, data analysis, communication skillsteamwork, data integration tools, microsoft dynamics, Communication skills, Tools"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Contechub,Jaipur,"microsoft power bi, data analysis, microsoft azure, power bi, salesforcemicrosoft dynamics, communication skills, Microsoft, Analysis"
Presales Data Analyst,Data Analyst,0-2 Yrs,Freshers,Dilytics,Hyderabad,"IT services, Performance management, Data Analyst, Oracle, Business intelligence, MS Office, microsoft, Powerpoint"
Credit Data Analyst,Data Analyst,0-2 Yrs,Freshers,ION,Mumbai,"Accountancy, Supply chain, Financial statements, Financial analysis, Fixed income, Financial statement analysis, Corporate credit, Balance Sheet"
Cognitive Data Analyst,Data Analyst,0-2 Yrs,Freshers,Prisma Global,Mumbai,"Analytical skills, Training, Basic, Coding, Artificial Intelligence, Machine learning, Data quality, Data Analyst"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Invest4edu,"Indore, Hyderabad","HTML, Data Analyst, Windows, Microsoft Windows, Data, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,John Crane Sealing Systems India,Pune,"snowflake, data analysis, modeling, data manipulation, bi, power bi, data warehousing, business analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Ramesh Parasmal Jain & Co.,Ahmedabad,"Data Analyst, Data analysis, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Gemini Exports,Mumbai,"Data validation, pricing analysis, Pharma, Competitor analysis, Portfolio analysis, Strategic planning, Market research, market data"
