Title,Company,Experience,Location,Salary,Skills
Data Analyst,Mindteck,4-8 Yrs,Bengaluru,Not Mentioned,"Computer science, Oracle database, VMware, Time series analysis, Netcool, Analytical, Product portfolio, Data analytics"
Data Analyst - Urgent Opening (Immediate To 15 days joiners only),Big 4 Accounting Firms,5-8 Yrs,"Noida, Gurugram, Delhi / NCR",Not Mentioned,"Data models, ETL, SSIS, SQL, Data modeling, Data analysis, Data"
Data Analyst,Axis My India,1-3 Yrs,"Mumbai Suburban, Mumbai (All Areas)(Andheri East)",Not Mentioned,"EDA, Pandas, Statistics, Scikit-Learn, Python, Pyspark, Numpy, Data"
Data Analyst,Repose Mattress,3-5 Yrs,Coimbatore,Not Mentioned,"Data Analysis, Analytical Ability, Excel, Power Bi, Data Visualization, SQL, Data, Analysis"
Data Analyst / Data Analyst Manager (Immediate Joiners),Millennium Organisation,1-4 Yrs,Mumbai (All Areas),Not Mentioned,"Power Bi, Advanced Excel, Data Analysis, Business Strategy, Sales Analysis, Team Handling, Team Coordination, Data Management"
Data Analyst,Pluginlive,5-10 Yrs,Pune,Not Mentioned,"Data Quality, Data Management, Data Cleansing, Data Governance, Data analysis, Cleansing, Management, Governance"
Data Analyst,Moving Walls Sdn Bhd,2-5 Yrs,"Chennai, Tamil Nadu",Not Mentioned,"Data Analysis, data models, data analysis tools, predictive models, validation processes, data visualization tools, Tools, Data validation"
Company Data - Analyst,MSCI Services,2-4 Yrs,Mumbai,Not Mentioned,"CVS, Automation, Data analysis, Data validation, Fixed income, Machine learning, Manager Quality Control, SQL"
Looking For Data Analyst position,Techtriad Technology Solutions,1-6 Yrs,Hyderabad,Not Mentioned,"Capital Market, Investment Banking, Trading, Financial Markets, Data analysis, Positioning, Investment, Marketing"
Data Analyst || Mohali ||,Alaric Ventures,1-3 Yrs,"Mohali, Chandigarh",Not Mentioned,"Data Mining, Excellent Verbal And Written Communication Skills, Lead Generation, Hubspot, Sales Navigator, Lusha, Zoominfo, Salesforce CRM"
Data Analyst,Amrita Vishwa Vidyapeetham,2-7 Yrs,Kollam,Not Mentioned,"Computer science, Data analysis, PDF, data science, Hypothesis Testing, Data Analyst, data visualization, Research"
Data Analyst,Ice.com,1-4 Yrs,Hyderabad,Not Mentioned,"Visual Basic, Capital IQ, Senior Analyst, Analytical, Data quality, market data, Data Analyst, Secondary research"
Data Analyst,Sia Partners,2-5 Yrs,Mumbai,Not Mentioned,"Computer science, French, Coding, Analytical, Corporate finance, microsoft, Business intelligence, Operations"
Data Analyst,JATO Dynamics Ltd,6-11 Yrs,New Delhi,Not Mentioned,"Health insurance, Data analysis, Change management, Automation, Manager Quality Assurance, Data management, Analytical, Data processing"
Maritime Data Analyst,DNV,2-5 Yrs,Pune,Not Mentioned,"Assurance, Maritime, Data collection, MS Office tools, Data Analyst, Training and Development, Research, Risk management"
Data Analyst,Market Xcel Data Matrix,3-8 Yrs,New Delhi,Not Mentioned,"Quantum, Advanced Excel, SPSS, Power Bi, Xcel, Tableau, Data analysis, Excel"
Data Analyst,Checkmarx,3-7 Yrs,Pune,Not Mentioned,"excel, enterprise information architecture, b2b sales, forecasting, power bi, sales process, salesforcesisense, communication skills"
Data Analyst,ICE Mortgage Technology,3-8 Yrs,Hyderabad,Not Mentioned,"Visual Basic, Capital IQ, Financial markets, Master data management, Analytical, Data quality, market data, Secondary research"
Data Analyst,Novastrid It Ventures,5-10 Yrs,Hyderabad(Kokapet),Not Mentioned,"SAS, Python, SQL, Data analysis, Data"
Data Analyst,Futures First,3-8 Yrs,Gurugram,Not Mentioned,"Automation, Data analysis, Excel, qlik sense, Analytical, power bi, Data Analyst, Macros"
Data Analyst,Apps Associates,5-8 Yrs,Gurugram,Not Mentioned,"Snowflake, Windows function, PLSQL, Functional, Data analysis, Data, Microsoft Windows"
Data Analyst,Thoucentric,5-10 Yrs,"Panipat, Yamunanagar, Faridabad, Sonipat, Gurugram, Hisar",Not Mentioned,"Usage, Consulting, Corporate, Healthcare, power bi, Data Analyst, FMCG, data visualization"
Data Analyst,Target,2-6 Yrs,Bengaluru,Not Mentioned,"guest service, python, sql, ms office package, dw, hive, domo, oracle"
Data Analyst,Corporate Web Solutions,No fixed duration,Bengaluru,Not Mentioned,
Data Analyst,Primary Healthtech,1-5 Yrs,Noida,Not Mentioned,"Data Interpretation, Data Analysis, Data Analytics, Data Management, Data Visualization, Data Reporting, Reporting, Data"
Data Analyst,Cindrebay School Of Fashion & Interior Design,1-4 Yrs,"Hyderabad, Coimbatore, Thodupuzha, Thiruvananthapuram, Kochi, Kolkata, Kannur, Indore, Nagpur, Pune, Lucknow, Kozhikode, Bengaluru",Not Mentioned,"Secondary Data, Database Design Development, Business Data Analyst, Data Collection Systems, Data Analysis, Data Mining, Information Management, Data Analytics"
Carbon Data Analyst,Terrascope,2-5 Yrs,Bengaluru,Not Mentioned,"SQL queries, Data management, Manufacturing technology, Accounting, Data processing, Data Analyst, Data analytics, Management"
Data Analyst,Cigna,2-6 Yrs,Bengaluru,Not Mentioned,"python, sql, r, data visualization, aws, data management, data analytics, data analysis"
Data Analyst,Leading Client,2-5 Yrs,Hyderabad,Not Mentioned,"Data Analysis, R, SAS, Power BI, Data Collection, Tableau, Regulatory Compliance, Performance Monitoring"
Data Analyst,Caliche,3-6 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst - YouAppi,Affle,2-5 Yrs,"Gurugram, Bengaluru",Not Mentioned,"python, data analysis, data analytics, data manipulation, data mining, predictive analytics, business analysis, power bi"
Data Analyst,Solventum,1-3 Yrs,Bengaluru,Not Mentioned,"Analytical skills, Data management, data science, Compliance, Healthcare, Data Analyst, Data analytics, AWS"
Data Analyst,Naghavi Fintech,5-9 Yrs,Bengaluru,Not Mentioned,"SAS, Cognos, TIBCO, power bi, Data analytics, Data analysis, Data, Bi"
Data Analyst,Infobahn Softworld,4-6 Yrs,Bengaluru,Not Mentioned,"Post production, adobe analytics, C, Web analytics, Debugging, Javascript, Data collection, Data analytics"
Data Analyst,Leading Client,4-8 Yrs,"Hyderabad, Ahmedabad",Not Mentioned,"Data Analysis, R, Power BI, Tableau, Looker, SQL, Python, Analysis"
Data Analyst,Infobahn Softworld,6-8 Yrs,Bengaluru,Not Mentioned,"Post production, adobe analytics, Web analytics, Debugging, Javascript, Data analytics, SQL, Analytics"
Data Analyst,Diverse Lynx,1-5 Yrs,Bengaluru,Not Mentioned,"Data analysis, Statistical analysis, SAS, Data Analyst, Data analytics, Regression analysis, Data mining, Python"
Data Analyst III,Sadup Soft,5-8 Yrs,Bengaluru,Not Mentioned,"Data Analysis, Data Integrity, Data Analyst, Data Visualization Tools, Tableau, Data Analytics, Looker, Data Visualization"
Data Informatics Analyst - ETL/Python,Quadrant Technologies,3-7 Yrs,"Hyderabad, Bengaluru",Not Mentioned,"Data Informatics Analysis, OneDrive, Power BI, Power Apps, Power Automate, SharePoint, ETL, Python"
Data Informatics Analyst - ETL/Python,Quadrant Technologies,3-7 Yrs,"Hyderabad, Bengaluru",Not Mentioned,"Data Informatics Analysis, OneDrive, Power BI, Power Apps, Power Automate, SharePoint, ETL, Python"
Data Analyst,Victrix Systems And Labs,8-10 Yrs,Bengaluru,Not Mentioned,"HCM, Change Management, Business Analyst, Data Migration, Oracle HCM, Data Analyst, Data Modeling, Data Analytics"
Data Analyst /  Data Modeler_IT MNC,IT MNC,8-12 Yrs,"Hyderabad, Pune",Not Mentioned,"ERwin, SQL, Data model, Data analyst, Data modeler, Data Analysis, Data Modeling, Modeler"
Data Analyst,Grow Solutions,0-2 Yrs,Surat,Not Mentioned,"Mining, Computer science, Business analysis, Analytical, Consulting, Business intelligence, Digital marketing, Operations"
Data Analyst,Masterg & Daughters,0-2 Yrs,New Delhi,Not Mentioned,"Data analysis, Data Analyst, Analysis, Data"
Data Analyst,Sociomix,0-5 Yrs,New Delhi,Not Mentioned,"Data analysis, Statistical analysis, Excel, Data Analyst, data visualization, SQL, Analysis, Statistics"
Data Analyst,Teplar Solutions,0-4 Yrs,Coimbatore,Not Mentioned,"Analytical, Litigation, Workflow, Customer support, Business Development Executive, Client interaction, Data Analyst, MS Office"
Data Analyst,Renee Technologies Pune,0-2 Yrs,Pune,Not Mentioned,"Data Analyst, Data analysis, Data"
Data Analyst,Big Rattle,0-1 Yrs,Mumbai,Not Mentioned,"Excel, Data management, Machine learning, Healthcare, Data quality, Data Analyst, FMCG, Manager Quality Control"
Data Analyst,Kaleesuwari Refinery and Industry (KRIPL),0-3 Yrs,"Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore",Not Mentioned,"Data Analyst, Data analysis, Data"
Data Analyst,Invent Arc,0-2 Yrs,Ahmedabad,Not Mentioned,"Data analysis, Process improvement, Analytical, Data collection, Data quality, Data Analyst, data visualization, Data mining"
Data Analyst,CRE Matrix,0-4 Yrs,Mumbai,Not Mentioned,"Matrix, Excel, CRE, Machine learning, Banking, Leasing, Data Analyst, Taxation"
Data Analyst,Arcgate,0-5 Yrs,Udaipur,Not Mentioned,"Data Analyst, Data, Data analysis"
Data Analyst,Improx Data And Cloud Consulting,0-2 Yrs,Pune,Not Mentioned,"Operations Analyst, Data management, Coding, Data collection, Test cases, Continuous improvement, Information technology, SQL"
Data Analyst,Abate As,0-2 Yrs,Perinthalmanna,Not Mentioned,"Data analysis, Analytical, Data collection, Healthcare, Data quality, Data Analyst, data visualization, Operations"
Data Analyst,Claight Corporation Expert Market Research,0-1 Yrs,Noida,Not Mentioned,"Data analysis, Data Analyst, Analysis, Data"
Data Analyst,Snware Research Services,0-3 Yrs,Gurugram,Not Mentioned,"Data validation, Quality standards, Project tracking, Quality check, Debugging, query, Data Analyst, SPSS"
Data Analyst,Magic Infomedia,0-2 Yrs,New Delhi,Not Mentioned,"Business Analyst, Data Analyst, Business analysis, Data analysis, Data"
Data Analyst,Mr Technical Veer Digital Services,0-3 Yrs,Lalitpur,Not Mentioned,"Data Analyst, Data, Data analysis"
Data Analysts / HTML Editor,I-tech Infonet,0-2 Yrs,Rajkot,Not Mentioned,"Training, Adobe Acrobat, PDF, XML, Epub, HTML, Editor, Testing"
Data Analyst,Mantras2success Consultants,0-1 Yrs,Ahmedabad,Not Mentioned,"Basic, Usage, Excel, Data management, VLOOKUP, Data Analyst, SEO analysis, Management"
Data Analyst,Diensten Tech,0-1 Yrs,Gurugram,Not Mentioned,"Data Analyst, Data analysis, Data"
Data Analyst,Bridgeloyalty Customer Experience Management Llp,0-1 Yrs,Mumbai,Not Mentioned,"tableau, Excel, Quality check, Senior Data Analyst, Transmission, Data collection, SPSS, Powerpoint"
Data Analyst,Recruitrix Technologies LLP,0-2 Yrs,Hyderabad,Not Mentioned,"Graphics, Excel, Data management, Data Analyst, Statistics, Data analysis, Management, Data"
Sleep Company is hiring Data Analyst,the Sleep Company,2-7 Yrs,Mumbai (All Areas),Not Mentioned,"SQL, Data Analysis, Data Visualization, Tableau, Data Analytics, Analysis, Hiring, Company"
ML Data Analyst,Netomi,2-5 Yrs,Gurugram,Not Mentioned,"Computer science, Data analysis, data science, Analytical, Artificial Intelligence, Machine learning, Natural language processing, Data analytics"
Data Analysts / HTML Editor,Ace Software Exports,0-4 Yrs,Rajkot,Not Mentioned,"Training, Adobe Acrobat, XML, Epub, HTML, Editor, Testing, Data analysis"
Data Analyst,Valita Technology,3-8 Yrs,Visakhapatnam,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,Onsurity,2-3 Yrs,Bengaluru,Not Mentioned,"PostgreSQL, MySQL, Snowflake, Data analysis, Data"
Data Analyst,Entytle,0-5 Yrs,Pune,Not Mentioned,"Computer science, Data analysis, SAP, Intern, Analytical, Perl, Oracle, Data mining"
Data Analyst,Primohunt Corporate,0-3 Yrs,Pune,Not Mentioned,"Analytical skills, Market study, Data analysis, Google Analytics, Coding, Database, Webtrends, Data Analyst"
Data Analyst,Rohan Builders & Developers,4-8 Yrs,"Nagar, Pune",Not Mentioned,"data analysis, data analytics, data interpretation, design development, data mining, strong analytical skills, power bi, process improvement"
Data Analyst,Colruyt It Consultancy India,5-8 Yrs,Coimbatore,Not Mentioned,"Report Development, Power Query, Data Analysis, Dax, ETL, Power Bi, Data Extraction, Data Collection"
Data Analyst,Victrix Systems And Labs,8-10 Yrs,Delhi / NCR,Not Mentioned,"Data Gathering, Change Management, HCM, Business Analyst, Data Migration, Oracle HCM, Data Analyst, Data Modeling"
data analyst,Disha Consultants,2-4 Yrs,"Pune, Chennai, Jaipur, Bengaluru",Not Mentioned,"Data analysis, Data validation, Data management, Data analytics, Advanced Excel, Data Analyst, data visualization, Management"
Data Analyst,Victrix Systems And Labs,8-10 Yrs,Jaipur,Not Mentioned,"Data Gathering, Change Management, HCM, Business Analyst, Data Migration, Oracle HCM, Data Analyst, Data Modeling"
Data Analyst,Victrix Systems And Labs,8-10 Yrs,Pune,Not Mentioned,"SQL, Change Management, HCM, Business Analyst, Data Migration, Oracle HCM, Data Analyst, Data Modeling"
Data Analyst -Python,Sopra Steria,3-5 Yrs,Chennai,Not Mentioned,"data mining, vlookup, sql, analytics, data science, advanced excel, data visualization, technical skills"
"Data Eng, Mgmt & Governance Analyst",Accenture,3-5 Yrs,Bengaluru,Not Mentioned,"data management, data analysis, dashboards, sql, tableau, hlookup, charts, conditional formatting"
Data Analyst,MS Guide World,4-9 Yrs,Bengaluru,Not Mentioned,"Solution design, Data analysis, Data modeling, Healthcare, Data analytics, Business intelligence, Project delivery, Python"
Data Analyst,Victrix Systems And Labs,8-10 Yrs,Surat,Not Mentioned,"HCM, Change Management, Business Analyst, Data Migration, Oracle HCM, Data Analyst, Data Modeling, Data Analytics"
Data Analyst,Victrix Systems And Labs,8-10 Yrs,Chennai,Not Mentioned,"Data analysis, Change Management, HCM, Business Analyst, Data Migration, Oracle HCM, Data Analyst, Data Modeling"
DATA ANALYST,Nutris Crop Solutions India Pvt.ltd,1-6 Yrs,Satara,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,fleetx.io,1-2 Yrs,Gurugram,Not Mentioned,"database maintenance, python, data analytics, data analysis, data mining, predictive analytics, business analysis, power bi"
Data Analyst,Winzo Games,10-15 Yrs,New Delhi,Not Mentioned,"Team management, MySQL, Conceptualization, Mentor, Data analytics, Data Analyst, Gaming, Analytics"
Data Analyst,Riyo Advertising,1-6 Yrs,Mumbai,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,Alcircle,1-3 Yrs,Kolkata,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data - Analyst,Datansh Solutions,1-4 Yrs,Jaipur,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,Manufapp,1-3 Yrs,New Delhi,Not Mentioned,"python, data analysis, data analytics, data mining, power bi, problem solving, analysis, machine learning"
Data Analyst,Navkar Digital Institute,1-4 Yrs,Ahmedabad,Not Mentioned,"digital, master data, metadata, python, data analysis, data management, data analytics, data validation"
Data Analyst,Esolution Point,1-3 Yrs,Chennai,Not Mentioned,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
Data Analyst,Sheer Analytics And Insights,2-5 Yrs,Kolkata,Not Mentioned,"python, data analysis, data analytics, data mining, predictive analytics, business analysis, market research, machine learning"
Data Analyst,Crazywebdev Technologies,1-3 Yrs,Jhansi,Not Mentioned,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
Data Analyst,Hashtag Infosystem,3-6 Yrs,Surat,Not Mentioned,"data analysis, data analytics, forecasting, bi, strong analytical skills, power bi, pivot table, business analysis"
Data Analyst,VNG Medical Innovation System,1-3 Yrs,Mohali,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,Goodwin Financial Holdings (p) Ltd.,2-5 Yrs,Hyderabad,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,Vixplor Analytics,1-5 Yrs,Kolkata,Not Mentioned,"Computer science, Analytical, Data collection, Packaging, Data analytics, Mathematics, Data Analyst, Information technology"
Data Analyst For Electric Engine Diagnosis,BMW Techworks India,2-7 Yrs,Pune,Not Mentioned,"INCA, Diagnostics, big data analytics, Analytical, Packaging, German, Data Analyst, MDA"
Data Analyst,Winzo,5-10 Yrs,New Delhi,Not Mentioned,"Team management, Senior management, MySQL, Conceptualization, Mentor, Data analytics, Data Analyst, Gaming"
Data Analyst,Facts N Data,3-6 Yrs,Noida,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst,Energytech Ventures,2-5 Yrs,Kolkata,Not Mentioned,"Managed services, Excel, Process improvement, Data collection, HTTP, Data analytics, Data Analyst, Powerpoint"
Data Analyst,Saven Technologies,3-5 Yrs,Hyderabad,Not Mentioned,"RCA, Root cause analysis, Analytical, Social media, Data analytics, data visualization, Analytics, SQL"
Data Analyst,Scriptshub Technologies,2-5 Yrs,Pune,Not Mentioned,"T-SQL, SSAS, Analytical, SSRS, power bi, Data analytics, Stored procedures, SSIS"
Data Analyst,Manipalcigna health insurance,2-4 Yrs,Mumbai (All Areas),Not Mentioned,"Power Bi, SAS, Data Analysis, Tableau, Python, data analytics, data science, Data"
Data Analyst - Who has also handled PNL,Bigbasket,5-9 Yrs,Bengaluru,Not Mentioned,"Data Analysis, Pnl Management, Advanced Excel, Data Management, High availability, WHO, Management, Analysis"
Data Analyst,ST Courier,10-20 Yrs,Chennai,Not Mentioned,"Analytical skills, Data modeling, Data analytics, Data Analyst, Analyst 2, Statistics, Modeling, Data analysis"
Data Analyst,Uminber,1-3 Yrs,Ahmedabad,Not Mentioned,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
Data Analyst,Schneider Electric,2-3 Yrs,"Gurugram, Chennai, Bengaluru",Not Mentioned,"Power Bi, Data Analysis, Data Analytics, SQL, Data Visualization, Analysis, Bi, Data"
Data Analyst,Techsolvo,1-3 Yrs,Meerut,Not Mentioned,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
Data Analyst - L4,Wipro,5-8 Yrs,Bengaluru,Not Mentioned,"IPython, Data analysis, data mining, data warehousing, business analytics, dashboards, Analytics, Warehouse"
Data Analyst,Mumbai Rozgaar Pvt Ltd,2-6 Yrs,"Mumbai, Mumbai (All Areas)",Not Mentioned,"Python Data Analytics, Trend Analysis, SQL, ETL, Data analysis, Trend, Python Data, Data analytics"
Data Analyst,TIC Fiber,3-6 Yrs,Chennai,Not Mentioned,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
DATA ANALYST,Nutris Crop Solutions India Pvt.ltd,1-6 Yrs,Satara,Not Mentioned,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
Data Analyst- Trainer/Faculty,Anudip,2-3 Yrs,"Tindivanam, Chennai",Not Mentioned,"Data analysis, Core Java, Excel, SQL database, MySQL, power bi, Data Analyst, Python"
Data Analyst,Leading Client,4-6 Yrs,Chennai,Not Mentioned,"data analysis, matlab, python, data analytics, natural language processing, sas, predictive analytics, machine learning"
Data Analyst,Heyev,4-9 Yrs,Jaipur,Not Mentioned,"python, data analysis, eda, data analytics, natural language processing, data manipulation, bi, power bi"
Data Analyst,Acme Services,4-5 Yrs,Mumbai,Not Mentioned,"Data analysis, Google Analytics, data science, Web analytics, Analytical, Report writing, Business management, E-commerce"
"Data Eng, Mgmt & Governance Analyst",Accenture,3-5 Yrs,Gurugram,Not Mentioned,"data management, data analysis, gap analysis, sql, data visualization, project management, python, data analytics"
Data Loss Prevention (DLP) Analyst (ZScaler),Leading Client,4-5 Yrs,India,Not Mentioned,"data analysis, information security, dlp, siem, data loss prevention, endpoint security, cyber security, network security"
Data Analyst,Fusion Plus Solutions,8-10 Yrs,Hyderabad,Not Mentioned,"Performance tuning, SQL queries, query optimization, Compliance, Data analytics, Data Analyst, Continuous improvement, SQL Server dba"
Data Governance Analyst,S&P Global Market Intelligence,3-5 Yrs,Gurugram,Not Mentioned,"data management, data preparation, data quality, data classification, data governance, metadata, data analysis, metadata management"
Data Analyst,Product based Fortune India 500 FMCG Firm,1-2 Yrs,Mumbai (All Areas),Not Mentioned,"Administration, mis, Advanced Excel, Dashboards, Data Analytics, Pivot Table, VLOOKUP, Master Data Management"
Data Analyst,FMCG & pharmaceutical Company,1-5 Yrs,Mumbai (All Areas),Not Mentioned,"Advanced Excel, Administration, MIS, Advanced Analytics, Data Analysis, Data Management And Analysis, Dashboards, Data Analytics"
Data Analyst - L3,Wipro,3-5 Yrs,Bengaluru,Not Mentioned,"python, dashboards management, data analysis, data mining, data warehousing, business analytics, Data, Warehouse"
Data Analyst - L3,Wipro,3-5 Yrs,Bengaluru,Not Mentioned,"Data Analysis, Tableau, data warehouses, data integration, Data modelling, L3, Warehouse, Integration"
Data Analyst - L3,Wipro,4-8 Yrs,Bengaluru,Not Mentioned,"data analysis, data mining, data warehousing, dashboards, data integration, python, data validation, pivot table"
Data Analyst - L3,Wipro,3-5 Yrs,Hyderabad,Not Mentioned,"Data analysis, data validation, data mining, business analysis, data warehousing, business analytics, dbms, dashboards"
Data Analyst - L3,Wipro,3-5 Yrs,Bengaluru,Not Mentioned,"Data Warehousing, Data analysis, data validation, data mining, business analytics, dashboards, data integration, Analytics"
Data Governance Analyst,Barclays,0-8 Yrs,Pune,Not Mentioned,"global operations, Data management, data governance, Data quality, Business strategy, Assistant Vice President, Risk management, Stakeholder management"
Data Analyst,ShareChat,1-3 Yrs,Bengaluru,Not Mentioned,"Business objects, SAS, Database design, XML, Social media, Javascript, SPSS, Data mining"
Data Governance Analyst,Barclays,0-8 Yrs,"Pune, Chennai",Not Mentioned,"global operations, Data management, data governance, Data quality, Business strategy, Assistant Vice President, Risk management, Stakeholder management"
Data Analyst - People & Culture,"NTT DATA, Inc.",3-8 Yrs,Gurugram,Not Mentioned,"project management, sap, power bi, data modeling, dax, master data, data analysis, c"
Data Analyst,Arvind Limited,4-8 Yrs,Bengaluru,Not Mentioned,"Power Bi, Azure Databricks, MS Fabric, SQL, Python, Microsoft Azure, Fabric, Data analysis"
Data Analyst,Bromine Infotech,3-5 Yrs,Bengaluru,Not Mentioned,"python, r, tableau, data analysis, analysis tools, power bi, communication skills, Analysis"
Data Governance - Analyst,RBL FinServe,4-6 Yrs,"Thane, Navi Mumbai, Mumbai (All Areas)",Not Mentioned,"Data Lineage, Data Quality Management, Data Governance Analyst, Data Analytics, Data Governance, Data Integrity, ADF, data management life cycle"
"WFM Data Analyst, Amazon ATO WFM Team",Amazon,2-6 Yrs,Bengaluru,Not Mentioned,"Data analysis, Excel, SAS, VLOOKUP, Workflow, Macros, Operations, Analytics"
Data Analyst,Business Brio,1-2 Yrs,Kolkata,Not Mentioned,"Graphics, Minitab, Front end, RDBMS, MySQL, SPSS, Macros, Analytics"
Data Analyst,Photon,4-9 Yrs,"Chennai, Bengaluru",Not Mentioned,"data cleansing, Data analysis, SAS, Data management, Analytical, Predictive modeling, Data quality, microsoft"
Data Analyst,Accolite Software India Pvt Ltd,3-8 Yrs,Bengaluru,Not Mentioned,"Unix, Performance tuning, Application support, Business objects, Data modeling, PLSQL, Informatica, Troubleshooting"
Data Analyst,Tata Digital,5-7 Yrs,Bengaluru,Not Mentioned,"Process automation, Hospitality, Data modeling, Process improvement, Customer service, Business strategy, Business intelligence, Financial services"
Data Analyst,Scalable Systems,6-8 Yrs,"Hyderabad, Pune, Chennai, Bengaluru, Mumbai (All Areas)",Not Mentioned,"Data Analysis, Data Visualization, SQL, Data, Analysis"
Data Analyst -M&T,Accolite Software India Pvt Ltd,5-7 Yrs,Bengaluru,Not Mentioned,"tableau, NoSQL, Senior Analyst, Analytical, power bi, Data Analyst, MATLAB, AWS"
Data Analyst,Photon,8-13 Yrs,"Chennai, Bengaluru",Not Mentioned,"tableau, power bi, Data Analyst, SQL, Python, Bi, Data analysis, Data"
Data Analyst - L4,Wipro,5-8 Yrs,Hyderabad,Not Mentioned,"Data Analysis, Tableau, data warehouses, data integration, Data modelling, Warehouse, Integration, Modeling"
Data Analyst - L4,Wipro,5-8 Yrs,Hyderabad,Not Mentioned,"Data Analysis, data validation, data mining, data warehousing, business analytics, dashboards, data integration, Data"
Data Analyst,Fiserv,3-5 Yrs,Thane,Not Mentioned,"Power Bi, Business Analytics, Data Analysis, SQL, Python, Analytics, Data, Analysis"
Data Analyst,Hitachi Digital Services,2-5 Yrs,Hyderabad,Not Mentioned,"communication skillsbusiness requirements, data analysis, analytical, time management, statistics, sql, Data, Analysis"
Data Analyst - L4,Wipro,5-8 Yrs,Hyderabad,Not Mentioned,"Database Architecting, data analysis, data mining, business analytics, reporting tools, Architecting, Tools, Data"
Data Analyst,BAJAJ FINSERVE,2-5 Yrs,Delhi / NCR,Not Mentioned,"Power Bi, Advanced Excel, SQL, Data Visualization, Tableau, Data analysis, Data, Excel"
Data Analyst,Michelin,3-8 Yrs,Pune,Not Mentioned,"Retail, Data analysis, Web analytics, digital marketing analyst, Data collection, E-commerce, Digital marketing, Continuous improvement"
Data Analyst - L4,Wipro,5-8 Yrs,Chennai,Not Mentioned,"Google BigQuery, analytics reporting, data analysis, data mining, business analytics, bigquery, data integration, Integration"
Data Analyst,Michelin,2-5 Yrs,Pune,Not Mentioned,"Retail, Data analysis, Web analytics, digital marketing analyst, Data collection, E-commerce, Digital marketing, Continuous improvement"
Data Analyst - L4,Wipro,5-8 Yrs,Hyderabad,Not Mentioned,"Database Architecting, database management, record management process, data modelling, data warehouses, data integration, DBMS, Modeling"
Data Analyst,Centre for Effective Governance of Indian States (CEGIS)- CLOP,1-4 Yrs,"Korba, Raigarh, Bhilai, Bilaspur, Raipur",Not Mentioned,"Procurement, Performance management, Project management, Analytical, Management consulting, Healthcare, Budgeting, Secondary research"
Data Analyst - L3,Wipro,3-5 Yrs,Pune,Not Mentioned,"Salesforce, Data analysis, data validation, data mining, data warehousing, business analytics, dashboards, data integration"
Data Analysts,Icare Academy Hyderabad,1-4 Yrs,Hyderabad,Not Mentioned,"analytics reporting, Automation, Data validation, C, Sales, Business analytics, Management, CSAT"
Data Analyst,Caratlane,2-6 Yrs,Pune,Not Mentioned,"sap, data analysis, continuous development, epr, bi, power bi, sap analytics cloud, problem solving"
Data Analyst,Caratlane,3-4 Yrs,Pune,Not Mentioned,"quicksight, python, cloudstack, data analysis, modeling, continuous development, bi, presentation skills"
Data Analyst,Rpa Infotech,1-3 Yrs,Gurugram,Not Mentioned,"Data analysis, MS SQL, Excel, Bfsi, Business analytics, Postgresql, MySQL, Predictive modeling"
Data Analyst,Godrej KÂ‚Â¶rber Supply Chain Ltd,3-5 Yrs,Mumbai,Not Mentioned,"Computer science, Process optimization, Excel, Analytical, Data collection, Data quality, Information technology, SQL"
ServiceNow Data Analyst,WPP,3-7 Yrs,Chennai,Not Mentioned,"Automation, Business analysis, Configuration management, Analytical, System integration, Data structures, Data quality, microsoft"
Data Analyst,Caratlane,4-6 Yrs,Pune,Not Mentioned,"sap, data analysis, bi, power bi, pivot table, sap analytics cloud, bo, report automation"
Data Analyst - Mosaic AI,Pepsico,8-10 Yrs,Hyderabad,Not Mentioned,"Data Analysis, Pyspark, Synapse, Azure, Data Factory, Azure Databricks, Databricks, Teradata"
Data Analyst,Wipro,2-6 Yrs,Pune,Not Mentioned,"Data Analysis, product support, material management, customer service, client interaction, troubleshooting, Materials, Data"
Data Analyst,Firstsource,2-7 Yrs,"Hyderabad, Bengaluru",Not Mentioned,"Snowflake, Data Analysis, Data Visualization, Data, Analysis"
